Datum,Ort,Land,Opfer,Bemerkungen,T,M,Q
21. Apr. 1935,,Taiwan,3.276,Hsinchu-Taichung-Erdbeben 1935,,"6,0 MS",2
30. Mai 1935,"Quetta, Provinz Belutschistan",heute Pakistan,30.000,,,"7,5 MS",2
16. Juli 1935,,Taiwan,2.746,,30,"6,5 MS",2
1. Feb. 1938,Bandasee,Indonesien,,,25,"8,5 MW",2
25. Jan. 1939,Chillán,Chile,28.000,,60,83,2
26. Dez. 1939,Erzincan in Anatolien,Türkei,32.700,"Erdbeben von Erzincan 1939, 27. Dezember Ortszeit",35,"7,8 MS",2
19. Nov. 1940,Bukarest,Rumänien,1.000,,150,73,2
20. Dez. 1942,"Niksar, Erbaa",Türkei,1.000,,,"7,3 MS",2
10. Sep. 1943,Honshū,Japan,1.400,,10,74,2
26. Nov. 1943,,Türkei,4.000,,33,76,2
15. Jan. 1944,Provinz Mendoza,Argentinien,8.000,,50,78,2
1. Feb. 1944,,Türkei,2.800,,33,"7,4 MS",2
7. Dez. 1944,,Japan,1.223,,30,"8,1 MW",2
12. Jan. 1945,vor der Südküste von Honshū,Japan,2.306,,,"7,1 MS",2
27. Nov. 1945,vor der Küste von Pakistan,Britisch-Indien heute Pakistan,4.000,,25,83,1/2
25. Jan. 1946,Sierre,Schweiz,4,"Erdbeben in der Schweiz 1946: insgesamt 3500 beschädigte Gebäude im Wallis, zahlreiche Nachbeben",,"5,8 MW",[40]
1. Apr. 1946,bei Unimak Island,USA (Alaska),164,"Ein bis 35 m hoher Tsunami tötete 5 Männer der Leuchtturmbesatzung von Scotch Cap (Unimak Island) und hatte noch auf Hawaii genug Energie, um 159 Opfer zu fordern",50,"8,1 MW",2
31. Mai 1946,Ustukran,Türkei,840,,,59,2
23. Juni 1946,Vancouver Island,Kanada (British Columbia),,Erdbeben von Vancouver Island,15,"7,3 Ms",[39]
4. Aug. 1946,,Nordostküste der Dominikanischen Republik,1.790,Erdbeben in der Dominikanischen Republik 1946,60,"8,1 MS",2
10. Nov. 1946,Ancash,Peru,800,,12,73,2
20. Dez. 1946,vor der Küste von Shikoku,Japan,1.362,,20,"8,1 MW",2
28. Juni 1948,vor der Nordküste von Honshū,Japan,5.131,,20,73,2
5. Okt. 1948,Aşgabat,"Turkmenische Sozialistische Sowjetrepublik, heute Turkmenistan",110.000,"Erdbeben von Aşgabat 1948, 6. Oktober Ortszeit",18,"7,3 MS",[41]
10. Juli 1949,Chait,Tadschikistan,12.000,lt. NOAA 3.500 Tote,18,74,1/2
5. Aug. 1949,Ambato,Ecuador,6.000,Erdbeben in Ecuador 1949,60,68,2
22. Aug. 1949,Graham Island,Kanada (British Columbia),,Erdbeben vor den Queen Charlotte Islands,25,"8,1 Mw",[39]
21. Mai 1950,Cuzco,Peru,80,Fast völlige Zerstörung der Stadt Cuzco,,66,2
15. Aug. 1950,Assam,Indien,1.500,Assam-Erdbeben 1950,,"8,6 MW",2
6. Mai 1951,Jucuapa,El Salvador,1.100,,100,"6,5 MW",2
21. Juli 1952,Kern County,USA (Kalifornien),12,Kern-County-Erdbeben,16,"7,5 MW",2
4. Nov. 1952,vor der Ostküste Kamtschatkas,Sowjetunion,,Tsunamis,45,"9,0 MW",2
18. März 1953,,Westen der Türkei,1.100,Tsunamis,,"7,5 MS",2
8. Aug. 1953,"Kefalonia, Ithaka, Zakynthos",Griechenland,476,"Erdbeben auf Kefalonia und Zakynthos 1953, fast völlige Zerstörung der Inseln",20,73,2
10. Sep. 1953,Paphos,Britisch-Zypern,40,"Das Erdbeben auf Zypern 1953 führte zu 40 Todesopfern, sechs Dörfer wurden vollständig zerstört",20,"6,5 MS",[42]
9. Sep. 1954,El-Asnam (ehem. Orleansville),Algerien,1.250,Tsunamis,5,"6,5 MS",2
9. Juli 1956,Ägäis,Griechenland,50,ca. 30 m hoher Tsunami,20,"7,8 MS",2
2. Juli 1957,,Norden des Iran,1.100,,14,66,2
9. März 1957,Andreanof Islands,USA (Alaska),,lokal bis zu 23 m hoher Tsunami (75 feet)[43],33,"8,6 MW",2
13. Dez. 1957,Sahneh,Westen des Iran,1.100,,,71,1/2
15. Jan. 1958,Arequipa,Peru,28,,60,73,3
9. Juli 1958,Lituya Bay,USA (Alaska),,Das Erdbeben löste einen Megatsunami aus,35,78,2
13. Jan. 1960,Arequipa,Peru,63,,160,"7,8 MS",2
29. Feb. 1960,Agadir,Marokko,13.100,Erdbeben von Agadir 1960,,57,2
22. Mai 1960,"Puerto Montt, Valdivia",Chile,3.263,Erdbeben von Valdivia 1960: Tsunamiwellen erreichten Hawaii und töteten 61 Personen,33,"9,5 MW",2
1962,,Mittel-Albanien,,,,,2/[8]
1. Sep. 1962,Qazvin,Iran,12.225,Erdbeben von Buinzahra 1962,15,"7,0 MW",2
26. Juli 1963,Skopje,Mazedonien,1.100,,5,60,2
13. Okt. 1963,Kurilen,Sowjetunion,,,47,"8,5 MW",2
27. März 1964,"Prinz-William-Sund, Valdez",USA (Alaska),139,"Karfreitagsbeben. Einen Großteil der Opfer forderte der Tsunami (Maximalhöhe ca. 67 m), 15 Tote unmittelbar durch das Erdbeben",23,"9,2 MW",2[44]
16. Juni 1964,vor der Küste von Niigata,Japan,26,,40,75,2
4. Feb. 1965,Rat-Island,USA (Alaska),,,36,"8,7 MW",2
19. Aug. 1966,Varto in Ost-Anatolien,Türkei,2.400,,24,68,2
1967,"Dibra, Librazhd",Albanien,,,,,2/[8]
14./15. Januar 1968,"Valle del Belice, Sizilien",Italien,370,"Schwere Schäden, 100 Verletzte, 70.000 Obdachlose",,61,[45]
31. Aug. 1968,Chorasan,Iran,12.100,,25,73,2
28. März 1969,Alaşehir in der Provinz Manisa,Westen der Türkei,53,,19,"6,6 MS (ISC)",[46]
25. Juli 1969,Yangjiang in der Provinz Guangdong,Süden von China,3.000,,5,"6,4 MS",2
4. Jan. 1970,Yunnan,China,10.000,Tonghai-Erdbeben 1970,31,"7,8 MS",2
28. März 1970,,Westen der Türkei,1.100,,20,73,2
31. Mai 1970,vor der Küste von Chimbote,Peru,66.800,"Erdbeben von Ancash: Yungay wurde durch einen Erdrutsch fast völlig zerstört, weitere Städte wie Huaraz wurden verwüstet.",43,"7,9 MW",2
10. Dez. 1970,,Grenzgebiet von Peru und Ecuador,82,Erdbeben in Peru vom 9. Dezember 1970 (Ortszeit),25,"7,2 MW",2
9. Feb. 1971,San Fernando Valley bei Los Angeles,USA (Kalifornien),65,San Fernando-Erdbeben von 1971,84,"6,6 MW",[47]/2
10. Apr. 1972,,Iran,5.054,,11,"7,2 MS",2
16. Apr. 1972,Seebenstein,Österreich,0,800 Feuerwehreinsätze in Wien,10,53,[9][48]
23. Dez. 1972,Managua,Nicaragua,6.000,250.000 Obdachlose,5,"6,2 MS",[49]/2
10. Mai 1974,Zhaotong und Daguan in Yunnan,China,20.000,"Daguan-Erdbeben. Das Beben war bis in die Nachbarprovinz Sichuan spürbar. Nach offiziellen Angaben wurden 1.423 Menschen getötet, 1.600 verletzt und 66.000 Gebäude beschädigt, davon 28.000 irreparabel. Andere Schätzungen: bis zu 20.000 Tote.",11,"7,1 MS",[50][51]/2
28. Dez. 1974,,Pakistan,5.300,,22,"6,2 MS",2
4. Feb. 1975,Liaoning in der Mandschurei,China,1.300,"Viele Verletzte und großer Schaden im Bereich von Yingkou und Haicheng. Schäden geringeren Ausmaßen wurden aus Seoul in Südkorea gemeldet. Das Beben war auch in der Region Primorje, Sibirien spürbar und in Kyūshū, Japan. Die Behörden ordneten die Evakuierung der Millionenstadt Haicheng am Tag vor dem Beben an, nachdem eine Zunahme von kleineren Erdbeben beobachtet wurde, die am Ende einer monatelangen Periode von Höhenänderungen der Erdoberfläche und des Grundwasserspiegels sowie merkwürdigen Verhaltens von Tieren stattfanden. Schätzungen gehen davon aus, dass ohne die Evakuierung die Opferzahl bei etwa 150.000 gelegen hätte.",33,74,[52]/2
6. Sep. 1975,,Osten der Türkei,2.400,,26,"6,7 MS",2
4. Feb. 1976,,Guatemala,22.778,,5,"7,5 MS",2
6. Mai 1976,Friaul,Italien,978,Erdbeben von Friaul 1976: ca. 2.400 Verletzte,9,"6,5 MS",2
25. Juni 1976,,Neuguinea,442,5.000 bis 9.000 Vermisste,33,"7,1 MS",2
28. Juli 1976,Tangshan,China,242.000,"Beben von Tangshan 1976: inoffiziell bis zu 800.000 Tote, eines der schlimmsten Beben der Geschichte",23,"7,5 MW",2
16. Aug. 1976,Mindanao,Philippinen,8.000,enorme Schäden durch Tsunamis,33,"8,1 MW",2
24. Nov. 1976,,Türkei und Iran,5.000,,36,"7,3 MS",2
4. März 1977,Epizentrum bei Vrâncioaia,Rumänien,1.581,Erdbeben von Vrancea 1977,94,"7,2 Mb",2
16. Sep. 1978,Tabas,Iran,20.000,Erdbeben bei Tabas 1978,33,"7,8 MS",2
15. Apr. 1979,südjugoslawische Küstenregion,Montenegro und Albanien,145,Erdbeben in Montenegro 1979: ca. 100.000 Menschen obdachlos,10,"6,9 MS",[53][8][54]
12. Dez. 1979,Tumaco,Kolumbien,5.000,"Zerstörung des Gebiets um Tumaco durch Tsunami (Epizentrum im Pazifik) beim Erdbeben von Tumaco 1979, etwa 500 Tote",10,"8,1 MS",2
10. Okt. 1980,El-Asnam (ehem. Orleansville),Algerien,5.000,Zerstörung der Stadt El-Asnam,10,"7,3 MS",2
8. Nov. 1980,Pazifik vor Nordkalifornien,USA,5,,19,"7,2 MS",2
23. Nov. 1980,Kampanien und Basilikata,Italien,2.914,Erdbeben von Irpinia 1980,20,"6,9 MS",2
19. Jan. 1981,,Neuguinea,1.500,,33,"6,7 MS",2
11. Juni 1981,,Süden des Iran,3.000,Erdbeben bei Golbaf 1981,33,"6,7 MS",2
28. Juli 1981,,Süden des Iran,3.000,Erdbeben bei Sirdsch 1981,33,"7,1 MS",2
13. Dez. 1982,,Jemen,2.800,,5,"6,0 MS",2
26. Mai 1983,Akita,Norden von Japan,104,14 m hoher Tsunami. Das Epizentrum lag im Japanischen Meer vor der Oga-Halbinsel / Akita.,24,"7,7 MS",[55][56]/2
30. Okt. 1983,Erzurum,Osten der Türkei,1.342,,12,"6,9 MS",2
3. März 1985,,Chile,200,,33,"7,8 MS",2
19. Sep. 1985,Michoacán,Mexiko,9.895,Erdbeben von Mexiko-Stadt 1985: inoffiziell über 30.000 Tote,28,"8,1 MS",2
13. Sep. 1986,Kalamata,Griechenland,20,Erdbeben bei Kalamata 1986,11,"5,8 MS",2
10. Okt. 1986,San Salvador,El Salvador,1.100,Das Hypozentrum des Bebens war unmittelbar in der Hauptstadt San Salvador. Quellen sprechen von 1000 bis 1500 Toten.,7,"5,4 MS",2
6. März 1987,,Ecuador,5.000,,10,"7,2 MS",2
20. Aug. 1988,,Nepal und Indien,1.450,,57,"6,6 MS",2
7. Dez. 1988,,Westen Armeniens,25.000,Erdbeben von Spitak 1988: eine Million Obdachlose,5,"6,8 MS",2
17. Okt. 1989,San Francisco,USA (Kalifornien),63,Loma-Prieta-Erdbeben 1989: hohe Sachschäden,19,"7,1 MS",2
18. Apr. 1990,"Kota Gorontalo, Sulawesi",Indonesien,3,,26,"7,6 MW",2
14. Juni 1990,"Culasi, Panay",Philippinen,4,,18,"7,1 MS",2
20. Juni 1990,Rasht,Iran,40.000–50.000,"Manjil-Rudbar-Beben: Mehr als 500.000 Obdachlose. Zerstört wurden die Städte Rasht, Manjil und Rudbar sowie 700 Dörfer am Kaspischen Meer.",19,"7,7 MS",2
16. Juli 1990,Luzon,Philippinen,2.412,,25,"7,8 MS",2
29. Apr. 1991,Großer Kaukasus,Norden Georgiens,270,"100.000 Obdachlose in den Regionen Innerkartlien/Südossetien, Imeretien und Ratscha; Städte Ambrolauri, Dschawa, Kwaissi, Oni und 700 Dörfer im Gebiet teils stark zerstört; 1,7 Mrd. USD Schaden",17,"7,0 MW",2
19. Okt. 1991,,Norden Indiens,1.500,,10,"7,0 MS",2
13. März 1992,Erzincan in Anatolien,Türkei,498,,27,"6,9 MS",2
28. Juni 1992,Kalifornien,USA,3,Landers-Erdbeben 1992,75,"7,3 MW",2
12. Okt. 1992,Großraum Kairo,Ägypten,560,Epizentrum lag 18 km südlich des Stadtzentrums von Kairo bei Dahschur. Neben den Todesopfern gab es mehrere Tausend Verletzte und ca. 300.000 Menschen verloren ihr Heim oder ihren Arbeitsplatz. Der geschätzte materielle Schaden betrug mehr als 1 Mrd. US-Dollar. Gemessen an der relativ geringen Stärke des Bebens eine verheerende Bilanz.,25,"5,3 MS",[57]
12. Dez. 1992,bei Flores,Indonesien,2.500,Tsunami bis zu 25 m,28,"7,8 MW",2
12. Juli 1993,Hokkaidō,Norden von Japan,230,32 m hoher Tsunami bei Okushiri. Das Epizentrum lag im Japanischen Meer in der Nähe von Hokkaidō.,17,"7,7 MS",2
30. Sep. 1993,Maharashtra,Indien,fast 10.000,,7,"6,2 MW",2
17. Jan. 1994,Los Angeles,USA (Kalifornien),72,Northridge-Erdbeben 1994: einer der teuersten Versicherungsfälle der 2. Hälfte des 20. Jahrhunderts,18,"6,7 MW",2
17. Jan. 1995,Kōbe,Japan,6.433,Erdbeben von Kōbe 1995,22,"6,9 MW",2
27. Mai 1995,Neftegorsk,Russland,1.989,,11,"7,1 MS",2
3. Feb. 1996,"Lijiang, Provinz Yunnan",China,322,"3.925 Schwer- und 13.000 Leichtverletzte. Etwa 358.000 Häuser zerstört und 654.000 beschädigt, mehr als 320.000 Obdachlose. Maximale Intensität in Lijiang. Komplexes Ereignis.",11,"6,6 MS",[21]/2
10. Mai 1997,,Ostiran,1.728,inoffiziell 3.000 Tote,10,"7,2 MW",2
30. Mai 1998,Badakhshan,Afghanistan,4.000,,33,"6,6 MW",2
7. Juli 1998,"Faial, Azoren",Portugal,8,"150 Verletzte, 1500 Obdachlose",10,"6,1 MW",[58]
17. Juli 1998,,Papua-Neuguinea,2.183,Alle Opfer durch Tsunami an der Nordküste,10,"7,0 MW",2
25. Jan. 1999,Armenia (Quindío),Kolumbien,1.885,,17,"6,2 MW",2
15. Juni 1999,,Mexiko,20,,70,"7,0 MW",2
17. Aug. 1999,Gölcük (Kocaeli) nahe İzmit,Türkei,18.373,"Erdbeben von Gölcük 1999: Zahl der Toten umstritten, 50.000 Verletzte.",17,"7,6 MW",2
7. Sep. 1999,Athen,Griechenland,143,Erdbeben von Athen 1999,10,"6,0 MW",1
21. Sep. 1999,Taiwanisches Zentralgebirge,Taiwan,2.400,"Jiji-Erdbeben, vier starke Nachbeben innerhalb von vier Stunden, 50.000 Verletzte",33,"7,7 MW",2/3
30. Sep. 1999,Oaxaca,Mexiko,33,,61,"7,5 MW",2
16. Okt. 1999,Kalifornien,USA,0,Hector-Mine-Erdbeben 1999,14,"7,1 MW",[59][60]
4. Juni 2000,Sumatra,Indonesien,103,,33,77,3
16. Nov. 2000,Neubritannien,Papua-Neuguinea,2,"zwei Hauptbeben, das zweite wiederum aus zwei Erdstößen",30/33,"8,2/7,8",3
