Year,Date,Magnitude,Location,Depth (km),MMI,Deaths,Injuries
1984,"February 7, 1984[90]",7.5,"Solomon Islands, Honiara",18.1,VIII,0,0
1985,"September 19, 1985",8.0,"Mexico, Mexico City",27.9,IX,40000,50000
1986,"May 7, 1986[91]",8.0,"United States, Aleutian Islands, Alaska",19.0,VII,0,0
1987,"November 30, 1987[92]",7.8,"United States, Gulf of Alaska",10.0,VI,0,0
1988,"March 6, 1988[93]",7.7,"United States, Gulf of Alaska",15.0,V,0,0
1989,"May 23, 1989[94]",8.0,"Australia, Macquarie Island",10.0,V,0,0
1990,"July 16, 1990",7.7,"Philippines, Luzon",24.4,IX,1621,3000
1991,"April 22, 1991",7.6,"Costa Rica, Limón",10.0,IX,127,759
1992,"December 12, 1992",7.8,"Indonesia, Sunda Islands",23.5,VIII,2500,0
1993,"August 8, 1993",7.8,"Guam, Offshore",59.3,IX,0,71
1994,"October 5, 1994",8.3,"Russia, Kuril Islands",3.0,IX,12,1742
1995,"October 9, 1995",8.1,"Mexico, Colima",33.0,VIII,49,100
1995,"July 30, 1995",8.1,"Chile, Antofagasta",40.0,VII,3,58
1996,"February 17, 1996",8.2,"Indonesia, Biak",11.5,VIII,166,423
1997,"December 5, 1997[95]",7.8,"Russia, Kamchatka Peninsula",23.5,VIII,0,0
1998,"March 25, 1998",8.1,"Antarctica, Balleny Islands",10.0,,0,0
1999,"September 21, 1999",7.6,"Taiwan, Nantou County",15.5,IX,2444,11305
2000,"November 16, 2000",8.0,"Papua New Guinea, New Ireland",13.0,VII,2,0
2001,"June 23, 2001",8.4,"Peru, Arequipa",33.0,VIII,145,2713
2002,"November 3, 2002",7.9,"United States, Alaska",4.2,IX,0,1
2003,"September 26, 2003",8.3,"Japan, Hokkaidō",23.5,IX,0,849
2004,"December 26, 2004",9.3,"Indonesia, Sumatra",10.0,IX,227898,125000
2005,"March 28, 2005",8.6,"Indonesia, Simeulue",21.0,IX,1313,300
2006,"November 15, 2006",8.3,"Russia, Kuril Islands",10.0,VI,0,1
2007,"September 12, 2007",8.4,"Indonesia, Sumatra",34.0,VIII,23,0
2008,"May 12, 2008",7.9,"China, Sichuan",19.0,XI,87587,374177
2009,"September 29, 2009",8.1,"Samoa, Offshore",18.0,VII,189,7
2010,"February 27, 2010",8.8,"Chile, Concepción",22.9,IX,550,12000
2011,"March 11, 2011",9.0–9.1,"Japan, Honshu",29.0,IX,19747,6000
2012,"April 11, 2012",8.6,"Indonesia, Indian Ocean",20.0,VII,10,12
2013,"May 24, 2013",8.3,"Russia, Sea of Okhotsk",598.1,VI,0,0
2014,"April 1, 2014",8.2,"Chile, Iquique",25.0,VIII,6,9
2015,"September 16, 2015",8.3,"Chile, Coquimbo",22.4,IX,21,34
2016,"December 17, 2016",7.9,"Papua New Guinea, New Ireland",94.5,VII,0,0
2017,"September 7, 2017",8.2,"Mexico, Chiapas",47.4,IX,98,250
2018,"August 19, 2018",8.2,"Fiji, offshore",600.0,V,0,0
2019,"May 26, 2019",8.0,"Peru, Loreto",122.6,VIII,2,0
2020,"July 22, 2020",7.8,"United States, Alaska Peninsula offshore",28.0,VII,0,0
2021,"July 28, 2021",8.2,"United States, Alaska Peninsula offshore",32.2,VII,0,0
2022,"September 11, 2022",7.6,"Papua New Guinea, Morobe",61.4,VIII,21,42
2022,"September 19, 2022",7.6,"Mexico, Michoacán",25.5,VIII,2,35
2023,"February 6, 2023",7.8,"Turkey, Southeastern Anatolia",17.9,XII,"59,488–62,013",121704
2024,"January 1, 2024",7.5,"Japan, Ishikawa",10.0,X,526,1389
2025,"March 28, 2025",7.7,"Myanmar, Sagaing",10.0,,3800+,"3,500 +"
