Date,Magnitude,Location,Depth (km),MMI,Deaths
"October 10, 1980",7.1,"Algeria, Chlef",10.0,X,"2,633–5,000"
"June 11, 1981",6.6,"Iran, Kerman",33.0,VIII,3000
"December 13, 1982",6.2,"North Yemen, Dhamar",10.0,VIII,2800
"October 30, 1983",6.6,"Turkey, Erzurum",15.0,IX,1340
"September 13, 1984",6.3,"Japan, Nagano",2.0,VIII,14
"September 19, 1985",8.0,"Mexico, Michoacán",20.0,IX,"5,000–45,000"
"October 10, 1986",5.7,"El Salvador, San Salvador",10.0,IX,"1,000–1,500"
"March 6, 1987",7.1,"Ecuador, Sucumbíos",10.0,IX,1000
"December 7, 1988",6.8,"Soviet Union, Armenian Soviet Socialist Republic",5.0,X,"25,000–50,000"
"January 23, 1989",5.3,"Soviet Union, Tajik Soviet Socialist Republic",33.0,VII,274
"June 21, 1990",7.4,"Iran, Gilan",18.5,X,"35,000–40,000"
"October 20, 1991",6.8,"India, Uttar Pradesh",11.6,IX,"768–2,000[25]"
"December 12, 1992",7.8,"Indonesia, Flores Sea offshore",27.7,VIII,"2,500[26]"
"September 29, 1993",6.2,"India, Maharashtra",10.0,VIII,9748
"June 6, 1994",6.8,"Colombia, Cauca",12.1,IX,1100
"January 17, 1995",6.9,"Japan, Kobe",21.9,XI,"5,502–6,434"
"February 3, 1996",6.6,"China, Yunnan",10.0,X,309–322
"May 10, 1997",7.3,"Iran, Khorasan",10.0,X,1567
"May 30, 1998",6.5,"Afghanistan, Takhar",33.0,VII,"4,000–4,500"
"August 17, 1999",7.6,"Turkey, İzmit",17.0,X,"17,127–18,373"
"June 4, 2000",7.9,"Indonesia, Enggano Island offshore",44.0,VI,103[27]
"January 26, 2001",7.6,"India, Bhuj",16.0,X,"13,805–20,023"
"March 25, 2002",6.1,"Afghanistan, Baghlan Province",8.0,VII,1200
"December 26, 2003",6.6,"Iran, Bam",15.0,IX,34000
"December 26, 2004",9.2–9.3,"Indonesia, Sumatra offshore",30.0,IX,227898
"October 8, 2005",7.6,"Pakistan, Balakot",15.0,XI,"86,000–87,351"
"May 27, 2006",6.4,"Indonesia, Yogyakarta",10.0,IX,"5,749[28]"
"August 15, 2007",8.0,"Peru, Ica offshore",39.0,IX,595
"May 12, 2008",7.9,"China, Sichuan",19.0,XI,87587
"September 30, 2009",7.6,"Indonesia, Padang offshore",90.0,VII[29],1115
"January 12, 2010",7.0,"Haiti, Léogâne",13.0,X,"46,000–160,000"
"March 11, 2011",9.1,"Japan, Sendai offshore",29.0,XI,19759
"August 11, 2012",6.4,"Iran, East Azerbaijan",9.0,VIII,306
"September 24, 2013",7.7,"Pakistan, Balochistan",15.0,IX,825
"August 3, 2014",6.1,"China, Yunnan",10.0,IX,617
"April 25, 2015",7.8,"Nepal, Gorkha District",8.2,X,8962
"April 16, 2016",7.8,"Ecuador, Esmeraldas",20.6,VIII[30],676
"November 12, 2017",7.3,Iran–Iraq border Region,19.0,IX,630
"September 28, 2018",7.5,"Indonesia, Palu",20.0,X,4340
"November 26, 2019",6.4,"Albania, Durrës",10.0,VIII,51
"October 30, 2020",7.0,Greece  Turkey Aegean Sea,21.0,VIII,119
"August 14, 2021",7.2,"Haiti, Nippes",10.0,IX,2248
"June 21, 2022",6.0,"Afghanistan, Khost",10.0,VIII,"1,052–1,163"
"February 6, 2023",7.8 & 7.7,"Turkey, Southeastern Anatolia  Syria, Aleppo and Idlib",10.0 & 7.4,XII,"59,488–62,013"
"January 1, 2024",7.5,"Japan, Ishikawa",10.0,X,526
"March 28, 2025",7.7,"Myanmar, Sagaing Region",10.0,X,5456
