Country/Territory,Magnitude,Date,More information
Ireland,4.0 ML,"June 6, 2012",[149]
Israel,7.3,"December 5, 1033",1033 Jordan Rift Valley earthquake
Italy,7.4,"January 11, 1693",1693 Sicily earthquake
Jamaica,7.7,"January 28, 2020",2020 Caribbean earthquake
Japan,9.0–9.1,"March 11, 2011",2011 Tōhoku earthquake and tsunami
Jersey,5.4,"July 30, 1926",[150]
Jordan,7.3,"December 5, 1033",1033 Jordan Rift Valley earthquake
Kazakhstan,8.0,"July 11, 1889 & January 3, 1911",1889 Chilik earthquake & 1911 Kebin earthquake
Kenya,6.7,"January 6, 1928",[151]
Kiribati,5.9 mb,"May 23, 1982",[152]
Kosovo,6.1 ML,"February 26, 1755 & August 10, 1921",[153]
Kuwait,4.7 mb,"June 2, 1993 & November 11, 2020",[154][155]
Kyrgyzstan,8.0,"July 11, 1889 & January 3, 1911",1889 Chilik earthquake & 1911 Kebin earthquake
Laos,6.7,"December 22, 1925",[156]
Lebanon,7.5,"July 9, 551",551 Beirut earthquake
Liberia,4.5 mb,"November 25, 1995",[157]
Libya,6.8,"April 19, 1935",[158]
Liechtenstein,3.6,"December 12, 2013",[159]
Luxembourg,2.9 ML,"September 3, 1986",[160]
Madagascar,6.2,"July 4, 1919",[161]
Malawi,6.3,"March 10, 1989",1989 Malawi earthquake
Malaysia,6.6,"August 11, 1923",[162]
Maldives,7.4,"February 29, 1944",[163]
Mali,4.2 mb,"January 11, 1999",[164]
Malta,5.5,"April 21, 2023",[165]
Marshall Islands,5.7,"March 22, 1982",[166]
Martinique,7.5–8.0,"January 11, 1839",1839 Martinique earthquake
Mauritania,4.6 mb,"September 3, 1993 & March 1, 2012",[167][168]
Mauritius,6.4,"June 19, 1976",[169]
Mayotte,5.9,"May 15, 2018",[170]
Mexico,8.6,"March 28, 1787",1787 New Spain earthquake
Federated States of Micronesia,7.8,"August 16, 1911",[171]
Moldova,3.9 mb,"April 2, 1988",[172]
Monaco,6.3,"July 19, 1963",[173]
Mongolia,8.3,"July 23, 1905",1905 Bolnai earthquake
Montenegro,6.9,"April 15, 1979",1979 Montenegro earthquake
Morocco,6.8,"November 27, 1755 & September 8, 2023",1755 Meknes earthquake & 2023 Al Haouz earthquake
Mozambique,7.0,"February 22, 2006",2006 Mozambique earthquake
Myanmar,8.5–8.8,"April 2, 1762",1762 Arakan earthquake
Namibia,5.4,"April 4, 2021",[174]
Nepal,8.2–8.8,"June 6, 1505",1505 Lo Mustang earthquake
Netherlands,5.3,"April 13, 1992",1992 Roermond earthquake
New Caledonia,7.9,"August 9, 1901",[175]
New Zealand,8.2,"January 23, 1855 & May 1, 1917",1855 Wairarapa earthquake[176]
Nicaragua,7.7,"September 2, 1992",1992 Nicaragua earthquake
Niger,4.6 mb,"January 18, 2017",[177]
Nigeria,4.5 mb,"March 7, 2000",[178]
North Korea,7.7,"September 29, 1973",[179]
North Macedonia,6.7,"March 8, 1931",[180]
Northern Mariana Islands,7.7,"December 28, 1940 & July 29, 2016",[181][182]
Norway,6.8,"August 30, 2012",[183]
Oman,5.7,"March 30, 1966",[184]
Pakistan,8.1,"November 28, 1945",1945 Balochistan earthquake
Palau,6.5,"May 31, 1982",[185]
Palestine,7.3,"December 5, 1033",1033 Jordan Rift Valley earthquake
Panama,7.9–8.3 Ms,"September 7, 1882",1882 Panama earthquake
Papua New Guinea,8.2,"May 6, 1919",[186]
Paraguay,6.5,"February 28, 1989",[187]
Peru (now part of present-day Chile),8.5–9.3,"August 13, 1868",1868 Arica earthquake
Philippines,8.3,"August 15, 1918",1918 Celebes Sea earthquake
Poland,5.6,"December 3, 1786",[188]
Portugal,8.5–9.0,"November 1, 1755",1755 Lisbon earthquake
Puerto Rico,8.0,"May 2, 1787",1787 Boricua earthquake
Réunion,5.3 mb,"April 5, 2007",[189]
Romania,7.9,"October 26, 1802",1802 Vrancea earthquake
Russia,9.0–9.3,"October 16, 1737",1737 Kamchatka earthquake
Rwanda,5.9,"February 3, 2008",2008 Lake Kivu earthquake
Saint Barthélemy,5.4,"November 18, 1990",[190]
Saint Kitts and Nevis,6.5,"March 16, 1985",[191]
Saint Lucia,7.3,"March 19, 1953",[192]
Saint Martin,5.0,"July 4, 2012",[193]
Saint Pierre and Miquelon,7.2,"November 18, 1929",1929 Grand Banks earthquake
Saint Vincent and the Grenadines,6.1,"July 6, 1940",[194]
Samoa,8.3–8.5,"June 25, 1917",1917 Samoa earthquake
São Tomé and Príncipe,5.5,"December 19, 2019",[195]
Saudi Arabia,7.3,"November 22, 1995",1995 Gulf of Aqaba earthquake
Senegal,5.5,"May 21, 1986",[196]
Serbia,6.0,"May 15, 1927",[197]
Seychelles,5.2 mb,"April 28, 1995",[198]
Slovakia,6.2–6.5,"June 28, 1763",1763 Komárom earthquake
Slovenia,6.1 ML,"April 14, 1895",1895 Ljubljana earthquake
Solomon Islands,8.1,"April 1, 2007",2007 Solomon Islands earthquake
Somalia,6.0,"January 22, 1929",[199]
South Africa,6.8,"December 31, 1932",[200]
South Georgia and the South Sandwich Islands,8.1–8.3,"August 12, 2021",2021 South Sandwich Islands earthquakes
South Korea,7.5,"June 26, 1681",1681 Yangyang earthquake [ko]
South Sudan,7.2,"May 20, 1990",1990 South Sudan earthquakes
Spain,7.8,"March 29, 1954",[81]
Sri Lanka,5.7,"August 30, 1973",[201]
Sudan,6.0,"May 12, 1938",[202]
Switzerland,6.0–7.1,"October 18, 1356",1356 Basel earthquake
Syria,7.6 Ms,"May 20, 1202",1202 Syria earthquake
Taiwan,8.2,"June 5, 1920",1920 Hualien earthquake
Tajikistan,7.5,"July 10, 1949",1949 Khait earthquake
Tanzania,7.0,"July 8, 1919",[203]
Thailand,6.1,"May 5, 2014",2014 Mae Lao earthquake
Tonga,8.3–8.5,"June 25, 1917",1917 Samoa earthquake
Trinidad and Tobago,7.5 Mfa,"January 10, 1888",[204]
Tunisia,7.2 or less,"October 9, 859",[205]
Turkey,7.8–8.0 Ms,"August 17, 1668",1668 North Anatolia earthquake
Turkmenistan,8.2 Ms,"July 7, 1895",[206]
Tuvalu,5.4,"February 5, 1983",[207]
Uganda,6.5,"June 30, 1952",[208]
Ukraine,6.7,"September 11, 1927",1927 Crimean earthquakes
United Arab Emirates,5.0,"March 11, 2002",[209]
United Kingdom,6.1 ML,"June 7, 1931",1931 Dogger Bank earthquake
United States,9.2–9.3,"March 27, 1964",1964 Alaska earthquake
U.S. Virgin Islands,7.2,"November 18, 1867",1867 Virgin Islands earthquake and tsunami
Uruguay,5.5 Ms,"June 5, 1888",1888 Río de la Plata earthquake
Uzbekistan,7.4 Ms,"October 21, 1907",1907 Qaratog earthquake
Vanuatu,8.1,"September 20, 1920",[210]
Venezuela,7.6–7.7,"April 29, 1894 & October 29, 1900",1894 Venezuelan earthquake[211] & 1900 San Narciso earthquake
Vietnam,6.8,"November 1, 1935",[212]
Wallis and Futuna,7.6,"May 23, 1956",[213]
Yemen,6.7,"December 18, 1908",[214]
Zambia,6.5,"May 1, 1919",[215]
Zimbabwe,5.5,"September 25, 1963",[216]
