排 名,山 峰,高 度 (8000 公尺 以下)[7],高 度 (英呎）,山 脈,地 區[8],位 置[9],突起 地形 (公尺)[10],主 峰[11],首次 登峰,登峰 次數[12]（嘗試）
60.0,托木尔峰,7439,24406,天山,吉爾吉斯／中国,42°02′06″N 80°07′32″E﻿ / ﻿42.03500°N 80.12556°E,4148,伊斯梅爾索莫尼峰,1956,
61.0,K12峰,7428,24370,薩爾托洛山脈 喀喇昆仑,印度／巴基斯坦,35°17′42″N 77°01′18″E﻿ / ﻿35.29500°N 77.02167°E,1978,薩爾托洛崗日峰,1974,4（2）
62.0,央然康日峰（Ganesh I）,7422,24350,Ganesh 喜馬拉雅,尼泊爾／中国,28°23′28″N 85°07′38″E﻿ / ﻿28.39111°N 85.12722°E,2352,希夏邦马峰,1955,1（6）
63.0,錫亞康戈里峰,7422,24350,Siachen 喀喇昆仑,巴基斯坦／中国,35°39′48″N 76°45′45″E﻿ / ﻿35.66333°N 76.76250°E,640,加舒爾布魯木I峰,1934,6（0）
64.0,莫慕希爾峰,7414,24324,希斯帕慕士塔格山脉 喀喇昆仑,巴基斯坦,36°19′04″N 75°02′11″E﻿ / ﻿36.31778°N 75.03639°E,980,Trvior（英语：Trvior）,1964,2（6）
65.0,卡布魯峰 N,7412,24318,干城章嘉喜馬拉雅,尼泊爾／印度,27°38′02″N 88°07′00″E﻿ / ﻿27.63389°N 88.11667°E,780,干城章嘉峰,unclimbed,0 (1)[14]
66.0,斯吉爾布魯木峰,7410,24311,巴爾托洛慕士塔格山 喀喇昆仑,巴基斯坦／中国,35°51′03″N 76°25′45″E﻿ / ﻿35.85083°N 76.42917°E,1152,喬戈里峰,1957,2（1）
67.0,哈拉莫什峰,7409,24308,Rakaposhi 喀喇昆仑,巴基斯坦,35°50′24″N 74°53′51″E﻿ / ﻿35.84000°N 74.89750°E,2277,馬魯畢庭峰,1958,4（3）
68.0,伊斯托歐納爾峰,7403,24288,興都庫什山脈,巴基斯坦,36°22′35″N 71°53′55″E﻿ / ﻿36.37639°N 71.89861°E,1040,諾沙克峰,1969,4（5）
69.0,根特崗日峰,7401,24281,薩爾托洛崗日峰 喀喇昆仑,印度／巴基斯坦,35°31′03″N 76°48′01″E﻿ / ﻿35.51750°N 76.80028°E,1493,薩爾托洛崗日峰,1961,4（0）
70.0,烏爾塔峰,7388,24239,巴托拉慕士塔格山 喀喇昆仑,巴基斯坦,36°23′54″N 74°42′32″E﻿ / ﻿36.39833°N 74.70889°E,700,喜士帕爾峰,1996,2（5）
71.0,里莫I峰,7385,24229,Rimo 喀喇昆仑,印度,35°21′21″N 77°22′05″E﻿ / ﻿35.35583°N 77.36806°E,1438,特拉木坎力峰,1988,1（3）
72.0,Churen Himal,7385,24229,道拉吉里峰喜馬拉雅,尼泊爾,28°44′06″N 83°12′58″E﻿ / ﻿28.73500°N 83.21611°E,600,道拉吉里IV峰（英语：Dhaulagiri IV）,1970,3（0）
73.0,特拉木坎力峰 III,7382,24219,Siachen 喀喇昆仑,印度／中国,35°35′59″N 77°02′53″E﻿ / ﻿35.59972°N 77.04806°E,520,特拉木坎力峰,1979,1（0）
74.0,舍披崗日峰,7380,24213,薩爾托洛山脈 喀喇昆仑,巴基斯坦,35°27′58″N 76°46′53″E﻿ / ﻿35.46611°N 76.78139°E,1000,根特崗日峰,1976,1（1）
75.0,拉布吉康峰,7367,24170,Labuche 喜馬拉雅,中国,28°18′15″N 86°21′03″E﻿ / ﻿28.30417°N 86.35083°E,1957,卓奧友峰,1987,1（0）
76.0,Kirat Chuli（英语：Kirat Chuli）,7362,24153,干城章嘉喜馬拉雅,尼泊爾／印度,27°47′13″N 88°11′40″E﻿ / ﻿27.78694°N 88.19444°E,1168,干城章嘉峰,1939,1（6）
,Abi Gamin（英语：Abi Gamin）,7355,24131,Garhwal 喜馬拉雅,印度／中国,30°55′57″N 79°36′09″E﻿ / ﻿30.93250°N 79.60250°E,217,卡美特山,1950,17（2）
,Nangpai Gosum（英语：Nangpai Gosum）,7350,24114,馬哈蘭格·喜瑪爾 喜馬拉雅,尼泊爾／中国,28°04′20″N 86°36′52″E﻿ / ﻿28.07222°N 86.61444°E,500,卓奧友峰,1996,3（1）
,Gimmigela（英语：Gimmigela）（The Twins）,7350,24114,干城章嘉喜馬拉雅,尼泊爾／印度,27°44′24″N 88°09′28″E﻿ / ﻿27.74000°N 88.15778°E,432,干城章嘉峰,1994,3（1）
77.0,Saraghrar（英语：Saraghrar）,7349,24111,興都庫什山脈,巴基斯坦,36°32′51″N 72°06′54″E﻿ / ﻿36.54750°N 72.11500°E,1979,諾沙克峰,1959,2（3）
78.0,卓木拉日峰[15],7326,24000,卓木拉日峰喜馬拉雅,不丹／中国,27°49′37″N 89°16′28″E﻿ / ﻿27.82694°N 89.27444°E,2065,Gangkhar Puensum,1937,4（0）
79.0,Chamlang（英语：Chamlang）,7321,24019,馬哈蘭格·喜瑪爾 喜馬拉雅,尼泊爾,27°46′30″N 86°58′47″E﻿ / ﻿27.77500°N 86.97972°E,1240,洛子峰,1961,7（1）
80.0,Chongtar Kangri（英语：Chongtar Kangri）,7315,23999,巴爾托洛慕士塔格山 喀喇昆仑,中国,35°54′46″N 76°25′47″E﻿ / ﻿35.91278°N 76.42972°E,1300,斯吉爾布魯木峰,1994,1（1）
81.0,巴托羅崗日峰,7312,23990,瑪夏布洛姆 喀喇昆仑,巴基斯坦,35°38′21″N 76°40′24″E﻿ / ﻿35.63917°N 76.67333°E,1200,喬戈里薩峰,1976,1（0）
82.0,四光峰,7309,23980,馬哈蘭格·喜瑪爾 喜馬拉雅,中国,28°08′49″N 86°41′06″E﻿ / ﻿28.14694°N 86.68500°E,650,卓奧友峰,1989,2（1）
83.0,皇冠山,7295,23934,Yengisogat 喀喇昆仑,中国,36°06′22″N 76°12′26″E﻿ / ﻿36.10611°N 76.20722°E,1919,斯吉爾布魯木峰,1993,1（3）
84.0,加拉白垒峰,7294,23930,Assam 喜馬拉雅,中国,29°48′47″N 94°58′03″E﻿ / ﻿29.81306°N 94.96750°E,2942,珠穆朗瑪峰,1986,1（0）
85.0,Porong Ri（英语：Porong Ri）,7292,23924,Langtang 喜馬拉雅,中国,28°23′22″N 85°43′17″E﻿ / ﻿28.38944°N 85.72139°E,520,希夏邦马峰,1982,5（0）
86.0,拜塔布拉克峰,7285,23901,Panmah 喀喇昆仑,巴基斯坦,35°56′51″N 75°45′12″E﻿ / ﻿35.94750°N 75.75333°E,1891,坎巨提峰,1977,3（13）
87.0,Yutmaru Sar（英语：Yutmaru Sar）,7283,23894,希斯帕慕士塔格山脉 喀喇昆仑,巴基斯坦,36°13′40″N 75°22′05″E﻿ / ﻿36.22778°N 75.36806°E,620,雅克辛嘎丹峰,1980,1（1）
88.0,巴爾蒂斯坦峰,7282,23891,瑪夏布洛姆 喀喇昆仑,巴基斯坦,35°25′06″N 76°33′08″E﻿ / ﻿35.41833°N 76.55222°E,1962,喬戈里薩峰,1970,1（3）
89.0,Kangpenqing（英语：Kangpenqing）,7281,23888,Baiku 喜馬拉雅,中国,28°33′03″N 85°32′44″E﻿ / ﻿28.55083°N 85.54556°E,1340,希夏邦馬峰,1982,1（1）
90.0,慕士塔格塔峰,7276,23871,巴爾托洛慕士塔格山 喀喇昆仑,巴基斯坦,35°49′38″N 76°21′39″E﻿ / ﻿35.82722°N 76.36083°E,1710,斯吉爾布魯木峰,1956,4（2）
91.0,Mana Peak（英语：Mana Peak）,7272,23858,Garhwal 喜馬拉雅,印度,30°52′51″N 79°36′56″E﻿ / ﻿30.88083°N 79.61556°E,730,慕士塔格塔峰,1937,7（3）
,道拉吉里VI峰（英语：Dhaulagiri VI）,7268,23845,道拉吉里峰喜馬拉雅,尼泊爾,28°42′29″N 83°16′21″E﻿ / ﻿28.70806°N 83.27250°E,485,道拉吉里IV峰（英语：Dhaulagiri IV）,1970,5（0）
92.0,迪讓峰,7266,23839,拉卡波希－哈拉莫什山脈 喀喇昆仑,巴基斯坦,36°07′19″N 74°39′40″E﻿ / ﻿36.12194°N 74.66111°E,1325,馬魯畢庭峰,1968,12（8）
93.0,拉布吉康峰 III / East[16],7250,23786,拉布吉康 喜馬拉雅,中国,28°18′01″N 86°23′03″E﻿ / ﻿28.30028°N 86.38417°E,570,拉布吉康峰,unclimbed,0（0）
94.0,Putha Hiunchuli（英语：Putha Hiunchuli）,7246,23773,道拉吉里峰喜馬拉雅,尼泊爾,28°44′50″N 83°08′55″E﻿ / ﻿28.74722°N 83.14861°E,1151,道拉吉里峰,1954,11（5）
95.0,Apsarasas Kangri（英语：Apsarasas Kangri）,7245,23770,Siachen 喀喇昆仑,印度／中国,35°32′20″N 77°08′59″E﻿ / ﻿35.53889°N 77.14972°E,635,特拉木坎力峰 I,1976,2（0）
96.0,Mukut Parbat（英语：Mukut Parbat）,7242,23760,Garhwal 喜馬拉雅,印度／中国,30°57′01″N 79°34′07″E﻿ / ﻿30.95028°N 79.56861°E,840,卡美特山,1951,2（1）
97.0,里莫III峰,7233,23730,里莫山脈 喀喇昆仑,印度,35°22′29″N 77°21′42″E﻿ / ﻿35.37472°N 77.36167°E,615,里莫I峰,1985,1（0）
98.0,Langtang Lirung（英语：Langtang Lirung）,7227,23711,Langtang 喜馬拉雅,尼泊爾,28°15′20″N 85°31′02″E﻿ / ﻿28.25556°N 85.51722°E,1525,希夏邦马峰,1978,14（13）
99.0,卡热疆峰,7221,23691,Kula Kangri 喜馬拉雅,中国,28°15′31″N 90°38′43″E﻿ / ﻿28.25861°N 90.64528°E,880,庫拉岡日峰,unclimbed,0（2）
100.0,Annapurna Dakshin（英语：Annapurna Dakshin）,7219,23684,安納布爾納山塊喜馬拉雅,尼泊爾,28°31′04″N 83°48′27″E﻿ / ﻿28.51778°N 83.80750°E,775,安纳布尔纳峰,1964,10（16）
101.0,Khartaphu（英语：Khartaphu）,7213,23665,馬哈蘭格·喜瑪爾 喜馬拉雅,中国,28°03′45″N 86°58′39″E﻿ / ﻿28.06250°N 86.97750°E,712,珠穆朗瑪峰,1935,1（0）
102.0,同山加布峰[17],7207,23645,Lunana 喜馬拉雅,不丹（/中国）,28°11′12″N 89°57′27″E﻿ / ﻿28.18667°N 89.95750°E,1757,冈嘎本孙峰,unclimbed,0（0）
103.0,Malangutti Sar（英语：Malangutti Sar）,7207,23645,希斯帕慕士塔格山脉 喀喇昆仑,巴基斯坦,36°21′51″N 75°08′52″E﻿ / ﻿36.36417°N 75.14778°E,515,迪斯特吉峰,1985,1（0）
104.0,寧金抗沙峰,7206,23642,拉轨岗日喜馬拉雅,中国,28°56′48″N 90°10′42″E﻿ / ﻿28.94667°N 90.17833°E,2160,同山加布峰,1986,4（1）
105.0,朗塘日,7205,23638,朗塘 喜馬拉雅,尼泊爾／中国,28°22′53″N 85°41′01″E﻿ / ﻿28.38139°N 85.68361°E,650,安纳布尔纳峰,1981,4（0）
106.0,Kangphu Kang（英语：Kangphu Kang）,7204,23635,Lunana 喜馬拉雅,不丹（/中国）,28°09′18″N 90°03′45″E﻿ / ﻿28.15500°N 90.06250°E,1200,同山加布峰,2002,1（0）
107.0,Singhi Kangri（英语：Singhi Kangri）,7202,23629,Siachen 喀喇昆仑,印度／中国,35°35′56″N 76°58′58″E﻿ / ﻿35.59889°N 76.98278°E,790,特拉木坎力峰III,1976,2（0）
108.0,Lupghar Sar（英语：Lupghar Sar）,7200,23622,希斯帕慕士塔格山脉 喀喇昆仑,巴基斯坦,36°20′54″N 75°01′33″E﻿ / ﻿36.34833°N 75.02583°E,730,莫慕希爾峰,1979,1（0）
