Rank,Name,Native names,Country,Average area,Average area,Notes
104.0,Skagern,,Sweden,133,51,
106.0,Sommen,,Sweden,132,51,
107.0,Dellensjöarna,,Sweden,131,51,Group of lakes located in an impact crater
,Oskol,"Оскільське водосховище, Оскольское водохранилище",Ukraine,130,50,
108.0,Kyyvesi,,Finland,128,49,
,Tisza,"Kisköre Reservoir, Tisza-tó, Kiskörei-víztározó",Hungary,127,49,
109.0,Trasimeno,Lago Trasimeno,Italy,124,48,
110.0,Engozero,Энгозеро,Russia,122,47,
110.0,Pyhäjärvi,,Finland,122,47,In Oulu Province
110.0,Pyhäjärvi,,Finland,122,47,In Tampere region
113.0,Kolvitskoye,Колвицкое озеро,Russia,121,47,
113.0,Snåsavatnet,,Norway,121,47,
115.0,Stora Le and Foxen,Stora Le och Foxen,Sweden,119,46,
116.0,Lough Derg,Loch Deirgeirt,Ireland,118,46,
117.0,Keurusselkä,,Finland,117,45,
117.0,Müritz,(Die) Müritz,Germany,117,45,Largest lake entirely in Germany
119.0,Baskunchak,Баскунчак,Russia,115,44,
120.0,Bolsena,Lago di Bolsena,Italy,114,44,Largest volcanic lake in Europe
120.0,Śniardwy,,Poland,114,44,Largest lake in Poland
120.0,Lucerne,Vierwaldstättersee,Switzerland,114,44,
120.0,Onkivesi,,Finland,114,44,
124.0,Mallasvesi–Roine,,Finland,110,42,
124.0,Pielavesi,,Finland,110,42,
126.0,Vesijärvi,,Finland,108,42,
127.0,Lower Lough Erne,Loch Éirne,Northern Ireland/ ( United Kingdom),105,41,
127.0,Lough Ree,Loch Rí,Ireland,105,41,
127.0,Ontojärvi,,Finland,105,41,
130.0,Mamry,,Poland,104,40,
131.0,Kolima,,Finland,101,39,
132.0,Tunnsjøen,Dåtnejaevrie,Norway,100,39,
