Nr.,Image,Summit,Height (m),Range,Country,Isolation[6] (km),Prominence[6] (m),First ascent[7],Easiest (normal) route to summit,Observations
28,,Zinalrothorn,4221,Wallis Alps,Switzerland,4.5  Weisshorn,491  Hohlicht Pass,"22 August 1864  Florence Crauford Grove, Leslie Stephen, Jakob and Melchior Anderegg",,
29,,Hohberghorn,4218,Mischabel Group,Switzerland,0.4  Stecknadelhorn,76  Hohbergjoch,"August 1869  R. B. Heathcote, Franz Biner, Peter Perren, Peter Taugwalder",,
30,,Vincent Pyramid,4215,Monte Rosa Massif,Italy,0.7  Schwarzhorn (Corno Nero),128  Col to the Schwarzhorn,"5 August 1819  Johann Nikolaus Vincent, three unknown companions",,
31,,Grandes Jorasses (Pointe Walker),4208,Mont Blanc Group,France/ Italy,7.9  Mont Blanc du Tacul,852  Col du Géant,"30 June 1868  Horace Walker, Melchior Anderegg, J. Jaun, J. Grange",,
32,,Alphubel,4206,Mischabel Group,Switzerland,2.3  Täschhorn,359  Mischabeljoch,"9 August 1860  T .W. Hinchliff, Leslie Stephen, Melchior Anderegg, Peter Perren",,
33,,Rimpfischhorn,4199,Mischabel Group,Switzerland,4.7  Alphubel,647  Allalin Pass,"9 September 1859  Leslie Stephen, Robert Liveing, Melchior Anderegg, Johann Zumtaugwald",,
34,,Aletschhorn,4194,Bernese Alps,Switzerland,13.5  Finsteraarhorn,"1,043  Lötschenlücke","18 June 1859  Francis F. Tuckett, Johann Joseph Bennen, Peter Bohren, V. Tairraz",,
35,,Strahlhorn,4190,Mischabel Group,Switzerland,1.8  Rimpfischhorn,404  Alder Pass,"15 August 1854  Edmund J. Grenville, Christopher Smyth, Franz-Josef Andenmatten, Ulrich Lauener",,
36,,Combin de Valsorey,4184,Grand Combin,Switzerland,0.5  Combin de Grafeneire,57  Col to the Combin de Grafeneire,,,
37,,Grandes Jorasses (Pointe Whymper),4184,Mont Blanc Group,France/ Italy,0.2  Pointe Walker,51[17]  col with the Pointe Walker,"24. June 1865  Edward Whymper, Michel Croz, Christian Almer, F. Biner",,
38,,Dent d’Hérens,4173,Wallis Alps,Italy/ Switzerland,4.2  Matterhorn,704  Colle Tournanche,"12 August 1863  Florence Crauford Grove, Melchior Anderegg and 5 companions",,
39,,Breithorn (Western Summit),4160,Wallis Alps,Italy/ Switzerland,4.2  Castor,438  Schwarztor,"13 August 1813  Henri Maynard, Joseph-Marie Couttet, Jean Gras, Jean-Baptiste and Jean-Jacques Erin",,
40,,Jungfrau,4158,Bernese Alps,Switzerland,8.3  Aletschhorn,694  Jungfraujoch,"3 August 1811  Johann Rudolf, Hieronymus Meyer, Alois Volker, Joseph Bortis",,
41,,Breithorn (Central Summit),4154,Wallis Alps,Italy/ Switzerland,0.7  Breithorn (Western Summit),73  Col to the (Western Summit),"13 August 1813  Henri Maynard, Joseph-Marie Couttet, Jean Gras, Jean-Baptiste and Jean-Jacques Erin",,
42,,Bishorn,4151,Wallis Alps,Switzerland,0.8  Weisshorn,90  Weisshornjoch,"18 August 1884  G. S. Barnes, R. Chessyre-Walker, Joseph Imboden, J. M. Chanton",,
43,,Eastern Breithorn (Eastern Summit/ western Twin Peak),4138,Wallis Alps,Italy/ Switzerland,0.8  Breithorn (Central Summit),120  Selle,,,
44,,Combin de la Tsessette,4132,Grand Combin,Switzerland,0.9  Combin de Grafeneire,57  Col to the Combin de Grafeneire,21 July 1894  E.F.M.Benecke and H.A.Cohen[18],,
45,,Aiguille Verte,4122,Mont Blanc Group,France,7.2  Grandes Jorasses,689  Col de l’Eboulement,"29 June 1865  Edward Whymper, Christian Almer, Franz Biner",,
46,,Aiguilles du Diable (L’Isolée),4114,Mont Blanc Group,France,0.2  Mont Blanc du Tacul,36[17]  Col to Mont Blanc du Tacul,"1925[19]  Antoine Blanchet, Armand Charlet",,
47,,Aiguille Blanche de Peuterey,4112,Mont Blanc Group,Italy,1.0  Mont Blanc,178  Col de Peuterey,"31 July 1885  Henry S. King, Emile Rey, Ambros Supersaxo, Aloys Anthamatten",,
48,,Mönch,4110,Bernese Alps,Switzerland,3.5  Jungfrau,591  Unteres Mönchsjoch,"15 August 1857  Sigismund Porges, Christian Almer, Christian and Ulrich Kaufmann",,
49,,Grandes Jorasses (Pointe Croz),4110,Mont Blanc Group,France/ Italy,0.4  Pointe Whymper,10[17]  col with Pointe Walker,,,
50,,Aiguilles du Diable (Pointe Carmen),4109,Mont Blanc Group,France,0.2  L'Isolée,36[17]  col with L'Isolée,"1923[19]  Brégault, Chevalier, De Lépiney",,
51,,Breithorn (Gendarm/ eastern Twin Peak),4106,Wallis Alps,Italy/ Switzerland,0.3  Breithorn (eastern Twin Peak),36[17]  Col to western Twin Peak,,,
52,,Grande Rocheuse,4102,Mont Blanc Group,France,0.3  Aiguille Verte,52[17]  col with the Aiguille Verte,"17 September 1865  Robert Fowler, Michel Ducroz, Michel Balmat",,
53,,Barre des Écrins,4102,Pelvoux,France,107.3  Picco Luigi Amedeo,"2,045  Col du Lautaret","25 June 1864  Edward Whymper, Horace Walker, Adolphus W. Moore, Christian Almer, Michel Croz",,
54,,Aiguilles du Diable (Pointe Médiane),4097,Mont Blanc Group,France,0.2  Pointe Carmen,40[17]  col with the Carmen,"1925[19]  Antoine Blanchet, Jean Chaubert, Armand Charlet, Devouassoud",,
55,,Pollux,4089,Wallis Alps,Italy/ Switzerland,0.7  Castor,243  Zwillingsjoch,"1 August 1864  Jules Jacot, Josef-Marie Perren, Peter Taugwalder sen.",,
56,,Schreckhorn,4078,Bernese Alps,Switzerland,5.9  Finsteraarhorn,795  Finsteraarjoch,"1 August 1864  Leslie Stephen, Ulrich Kaufmann, Peter and Christian Michel",,
57,,Breithorn (Roccia Nera),4075,Wallis Alps,Italy/ Switzerland,0.4  Zwilling-Ost,30[17]  Col to the Zwilling East,,,
58,,Aiguilles du Diable (Pointe Chaubert),4074,Mont Blanc Group,France,0.2  Pointe Médiane,57[17]  Col to the Médiane,"1925[19]  Jean Chaubert, Armand Charlet",,
59,,Mont Brouillard,4069,Mont Blanc Group,France,0.2  Picco Luigi Amedeo,39  Col Emile Rey,"1906  Karl Blodig, Oscar Eckenstein, Alessio Brocherel",,
60,,Grandes Jorasses (Pointe Marguerite),4065,Mont Blanc Group,France/ Italy,0.2  Pointe Croz,50[17]  col with Pointe Croz,,,
61,,Aiguilles du Diable (Corne du Diable),4064,Mont Blanc Group,France,0.2  Pointe Chaubert,19[17]  Col to the Chaubert,"1925[19]  Jean Chaubert, Armand Charlet",,
62,,Ober Gabelhorn,4063,Wallis Alps,Switzerland,3.1  Zinalrothorn,536  Triftjoch,"6 July 1865  Horace Walker, Adolphus W. Moore, Jakob Anderegg",,
63,,Gran Paradiso,4061,Graian Alps,Italy,45.1  Grandes Jorasses,"1,888  Nahe Kleiner Sankt Bernhard","4. September 1860  John J. Cowell, W. Dundas, Jean Tairraz, Michel-Clément Payot",,
64,,Aiguille de Bionnassay,4052,Mont Blanc Group,France/ Italy,1.8  Dôme du Goûter,164  Col de Bionnassay,"28 July 1865  E.N. Buxton, F.C. Grove, R.J.S. Macdonald, Michel Payot, Jean-Pierre Cachat",,
65,,Gross Fiescherhorn,4049,Bernese Alps,Switzerland,4.7  Mönch,396  Fiescherjoch,"23 July 1862  Adolphus W. Moore, H. B. George, Ulrich Kaufmann, Christian Almer",,
66,,Piz Bernina,4048,Bernina Group,Switzerland,138  Finsteraarhorn,"2,236  Maloja Pass","13 September 1850  Johann Coaz, Jon and Lorenz Ragut Tscharner",,
67,,Vincent Pyramid (Punta Giordani/Giordanispetz),4046,Monte Rosa Massif,Italy,0.1  Vincent Pyramid,6  col with the Vincent Pyramid,23 July 1801 Pietro Giordani [20],,
68,,Grandes Jorasses (Pointe Elena),4045,Mont Blanc Group,France/ Italy,0.2  Pointe Marguerite,10[17]  col with Pointe Marguerite,,,
69,,Grünhorn,4043,Bernese Alps,Switzerland,2.5  Gross Fiescherhorn,303  Kleine Grünhornlücke,"7 August 1865  Edmund von Fellenberg, Peter Michel, Peter Egger, Peter Inäbnit",,
70,,Lauteraarhorn,4042,Bernese Alps,Switzerland,1.0  Gross Fiescherhorn,128  Schreckhorn Saddle,"7 August 1865  Pierre Desor, Arnold Escher von der Linth, Christian Girard, Melchior Bannholzer, Jakob Leuthold",,
71,,Aiguille du Jardin,4035,Mont Blanc Group,France,0.2  Grande Rocheuse,37  col with the Rocheuse,"1 August 1904  E. Fontaine, Jean Ravanel, Léon Tournier",,
72,Dürrenhorn,Dürrenhorn,4035,Mischabel Group,Switzerland,0.8  Hohberghorn,124  Dürrenjoch,"7 September 1879  Albert F. Mummery, William Penhall, Alexander Burgener, Ferdinand Imseng",,
73,,Allalinhorn,4027,Wallis Alps,Switzerland,2.1  Rimpfischhorn,257  Alphubeljoch,"28 August 1856  Edward L. Ames, Johann Josef Imseng, Franz Josef Andenmatten",,
74,,Hinter Fiescherhorn,4025,Bernese Alps,Switzerland,0.7  Gross Fiescherhorn,102  Fiescher Saddle,"28 July 1885  Eugen Guido Lammer, August Lorria",,
75,,Dôme de Rochefort,4015,Mont Blanc Group,France/ Italy,0.9  Pointe Marguerite,206  Col des Grandes Jorasses,"12 August 1881  Alphonse Payot, Michel-Clément Payot, J. Eccles",,
76,,Barre des Écrins (Dôme de Neige),4015,Pelvoux,France,0.2  Barre des Écrins,41  Brèche Lory,,,
77,,Weissmies,4013,Wallis Alps,Switzerland,11.2  Lenzspitze,"1,183  Mondelli Pass","Late August 1855  de:Jakob Christian Heusser, Peter Josef Zurbriggen",,
78,,Dent du Géant,4013,Mont Blanc Group,France/ Italy,1.2  Dôme de Rochefort,139  col with the Aiguille de Rochefort,"28 July 1882  Jean-Joseph, Baptiste and Daniel Maquignaz (""Pointe Sella"")[Note 4]",,
79,,Punta Baretti,4013,Mont Blanc Group,Italy,0.3  Mont Brouillard,56  Col to the Mont Brouillard,"28 July 1880  Martino Baretti, Jean-Joseph Maquignaz",,
80,,Lagginhorn,4010,Wallis Alps,Switzerland,3.3  Weissmies,512  Lagginjoch,"26 July 1856  Edward L. Ames, Johann Josef Imseng, Franz-Josef Andenmatten",,
81,,Aiguille de Rochefort,4001,Mont Blanc Group,France/ Italy,0.6  Dent du Géant,106  Col to the Dôme de Rochefort,"14. August 1873  Alphonse Payot, Michel-Clément Payot, J. Eccles",,
82,,Les Droites,4000,Mont Blanc Group,France,0.7  Grande Rocheuse,204  Col de l’ Aiguille Verte,"7 August 1876  Thomas Middlemore, John Oakley Maund, Henri Cordier, Johann Jaun, Andreas Maurer",,
